"HS6-SH6","DESCRIPTION_ENG","DESCRIPTION_FRA"
"321100","Prepared Driers","Siccatifs préparés"
"321210","Stamping Foils","Feuilles pour le marquage au fer"
"321290","Pigments Dispersed In A Non-Aqueous Media For Manufacturing Of Paints; Dyes Packaged For Retail Sale","Autres pigments dispersés milieu non aqueux , teintures et autres colorants pour vente détail"
"321310","Colours In Sets - Use By Artists, Students Or Signboard Painters","Couleurs pour la peinture artistique, l'amusement, l'enseignement et les enseignes - en assortiment"
"321390","Colours Packaged In Various Forms Nes - Use By Artists, Students Or Signboard Painters","Couleurs pour la peinture artistique, l'amusement, l'enseignement et les enseignes - autres nda"
"321410","Mastics And Painters' Fillings","Mastics de vitrier, ciments de résines et enduits utilisés en peinture"
"321490","Non-Refractory Surfacing Preparations For Facades, Indoor Walls, Floors, Ceilings And The Like","Enduits non réfractaires utilisés en maçonnerie et enduits similaires"
"321511","Printing Ink - Black","Encres d'imprimerie - noires"
"321519","Printing Ink - Other Than Black","Encres d'imprimerie - couleurs (a/q noir)"
"321590","Ink Nes","Encres - autres nda"
"330112","Essential Oils Of Orange","Huiles essentielles - d'orange"
"330113","Essential Oils Of Lemon","Huiles essentielles - de citron"
"330119","Essential Oils Of Citrus Fruit, Nes","Huiles essentielles d'agrumes, nda"
"330124","Essential Oils Of Peppermint (Mentha Piperita)","Huiles essentielles - de menthe poivrée (mentha piperita)"
"330125","Essential Oils Of Other Mints","Huiles essentielles - d'autres menthes nda"
"330129","Essential Oils, O/T Citrus Fruit, Nes","Huiles essentielles, a/q d'agrumes, nda"
"330130","Resinoids","Résinoïdes"
"330190","Concentrates, Aqueous Distillates/Solutions And Terpenic By-Products Of Essential Oils","Huiles essentielles distillées, concrètes ou aqueuses et sous-produits terpéniques"
"330210","Mixtures Of Odoriferous Substances For The Food Or Drink Industries","Mélanges de substances odoriférantes-  pour industrie alimentaires ou des boissons"
"330290","Mixtures Of Odoriferous Substances For Use As Finished Perfumes Bases","Mélanges de substances odoriférantes - pour autres industries nda"
"330300","Perfumes And Toilet Waters","Parfums et eaux de toilette"
"330410","Lip Make-Up Preparations","Produits de maquillage pour les lèvres"
"330420","Eye Make-Up Preparations","Produits de maquillage pour les yeux"
"330430","Manicure Or Pedicure Preparations","Préparations pour manucures ou pédicures"
"330491","Powders, Beauty Or Make-Up, Whether Or Not Compressed","Poudres de beauté ou de maquillag"
"330499","Beauty Or Make-Up Preparations Nes (Including Sunscreen Or Suntan Preparations)","Préparations anti-solaires et pour bronzer; autres produits pour le soin de la peau nda"
"330510","Hair Shampoos","Shampooings"
"330520","Hair Permanent Waving Or Straightening Preparations","Préparations pour l'ondulation ou le défrisage permanents des cheveux"
"330530","Hair Lacquers (Hair Sprays)","Laques pour les cheveux"
"330590","Hair Preparations Nes","êutres préparations capillaires nda"
"330610","Toothpaste, Denture Cleaners And Other Dentifrices","Dentifrices"
"330620","Yarn Used To Clean Between The Teeth (Dental Floss)","Fils utilisés pour nettoyer les espaces dentaires (fils dentaires)"
"330690","Oral Or Dental Hygiene Preparations Nes","Préparations pour l'hygiène buccale ou dentaire, nda"
"330710","Pre-Shave, Shaving Or After-Shaving Preparations","Préparations pour le prérasage, le rasage ou l'après-rasage"
"330720","Personal Deodorants And Antiperspirants","Désodorisants corporels et autisudoraux"
"330730","Perfumed Bath Salts And Other Bath Preparations","Sels parfumés et autres préparations pour bains"
"330741","Agarbatti And Other Odoriferous Preparations Which Operate By Burning","Agarbatti et autres préparations odoriférantes agissant par combustion"
"330749","Room Perfuming Or Deodorizing Preparations, Nes","Autres préparations pour parfumer ou désodoriser les locaux nda"
"330790","Perfumery, Cosmetic Or Toilet Preparations Nes","Autres produits de parfumerie ou de toilette préparés et autres préparations cosmétiques nda"
"340111","Toilet Soap And Organic Preparations (Including Medicated Products)","Savons de toilette (y compris à usage médical)"
"340119","Soap And Organic Preparations - Other Than For Toilet Use","Autres produits et préparations organiques tensio-actifs à usage de savon nda"
"340120","Soap In Other Forms Nes","Savons sous autres formes"
"340130","Organic Surface-Active Liquid/Cream Preparations For Skin Washing - Retail","Préparations organiques liquides/en crème pour lavage de la peau - pour vente au détail"
"340211","Anionic Surface-Active Agents","Agents de surface organiques - anioniques"
"340212","Cationic Surface-Active Agents","Agents de surface organiques - cationiques"
"340213","Non-Ionic Surface-Active Agents","Agents de surface organiques - non-ioniques"
"340219","Organic Surface-Active Agents, Nes","Agents de surface organiques - autres nda"
"340220","Surface-Active Preparations, Washing And Cleaning Preparations (Incl Detergents) - For Retail Sale","Préparations tensio-actives - pour lessive/nettoyage - pour vente au détail"
"340290","Surface-Active Preparations, Washing And Cleaning Preparations, Nes","Préparations tensio-actives - pour lessive/nettoyage - pas pour vente au détail"
"340311","Lubricating Preparations (With 70% Or More Petroleum Oils) For Treating Textiles, Leather, Furskins","Préparations - avec <70% d'huiles de pétrole - pour traitement des textiles/cuir/pelleteries"
"340319","Lubricating Preparations (With 70% Or More Petroleum Oils) For Automotive And Other Uses Nes","Préparations lubrifiantes et similaires nda - avec <70% d'huiles de pétrole"
"340391","Lubricating Preparations (Without Petroleum Oils) For Treating Textiles, Leather, Furskins","Préparations sans huiles de pétrole, pour le traitement des textiles, du cuir et des pelleteries"
"340399","Lubricating Preparations (Without Petroleum Oils) For Automotive And Other Uses Nes","Préparations lubrifiantes et similaires ne contenant pas d'huiles de pétrole, nda"
"340420","Artificial And Prepared Waxes - Of Polyethylene Glycol","Cires artificielles et cires préparées - de polyéthylène-glycols"
"340490","Artificial And Prepared Waxes, Nes","Cires artificielles et préparées, nda"
"340510","Polishes, Creams And Similar Preparations - For Footwear Or Leather","Cirages, crèmes et préparations similaires pour chaussures ou pour cuir"
"340520","Polishes, Creams And Similar Preparations - For Maintenance Of Woodwork","Encaustiques et préparations similaires pour l'entretien des meubles, parquets ou autres boiseries"
"340530","Polishes And Similar Preparations (Other Than Metal Polishes) - For Coachwork","Brillants et préparations similaires pour carrosseries (a/q brillants pour métaux)"
"340540","Scouring Pastes And Powders And Other Scouring Preparations","Pâtes, poudres et autres préparations à récurer"
"340590","Polishes, Creams And Similar Preparations, Nes (Incl Cutlery Polish)","Cirages, crèmes, brillants et préparations similaires, nda"
"340600","Candles, Tapers And The Like","Bougies, chandelles, cierges et articles similaires"
"340700","Modeling Paste; Dental Impression Or Casting Wax And Other Similar Compounds","Pâtes à modeler, cires dentaires pour vente au détail et compositions dentaires à base de plâtre"
"350110","Casein","Caséines"
"350190","Casein Glues; Caseinates And Other Casein Derivatives","Caséinates et autres dérivés des caséines et colles de caséine"
"350211","Egg Albumin - Dried","Ovalbumine - séchée"
"350219","Egg Albumin - Other Than Dried","Ovalbumine - pas séchée"
"350220","Milk Albumin, Including Concentrates Of Two Or More Whey Proteins","Lactalbumine (incl concentrés de deux ou plusieurs protéines de lactosérum)"
"350290","Albumins Nes; Albuminates And Other Albumin Derivatives","Albumines, albuminates et autres dérivés des albumines, nda"
"350300","Gelatin And Gelatin Derivatives; Isinglass; Glues Of Animal Origin (Excl Casein Glues) Nes","Gélatines et leurs dérivés, ichtyocolles et colles d'origine animal (a/q colles de caséine)"
"350400","Peptones, Derivatives; Protein Substances And Derivatives, Nes; Hide Powder","Peptones et autres matières protéiques et leurs dérivés, nda; poudre de peau"
"350510","Dextrins And Other Modified Starches","Dextrine et autres amidons et fécules modifiés"
"350520","Glues Based On Starches, On Dextrins Or Other Modified Starches, Nes","Colles à base d'amidons ou fécules, de dextrine ou d'autres amidons modifiés, nda"
"350610","Prepared Glues Or Adhesives Of All Kinds In A Pack Of A Net Weight Not Exceeding 1 Kg","Colles et adhésifs - emballage <1 kg"
"350691","Adhesives Based On Rubber Or Plastics, Nes","Adhésifs à base de caoutchouc ou de matières plastiques nda"
"350699","Prepared Glues Or Adhesives Of All Kinds In A Pack Of A Net Weight Exceeding 1 Kg  Nes","Colles ou adhésifs préparés nda - emballage >1 kg"
"350710","Rennet And Concentrates Thereof","Présure et ses concentrats"
"350790","Pure (Isolated) Or Prepared Enzymes Nes","Autres enzymes et enzymes préparées nda"
"360100","Propellent Powders (Including Gunpowder)","Poudres propulsives"
"360200","Prepared Explosives (Other Than Propellant Powders)","Explosifs préparés (a/q les poudres propulsives)"
"360300","Safety Or Detonating Fuses; Percussion Or Detonating Caps; Igniters; Electric Detonators","Mèches de sûreté, cordeaux détonnants, amorces, capsules fulminantes, allumeurs et détonateurs élec."
"360410","Fireworks","Articles pour feux d'artifice"
"360490","Signaling Flares, Rain Rockets, Fog Signals And Other Pyrotechnic Articles","Fusées de signalisation ou paragrêles et similaires, pétards et autres articles de pyrotechnie"
"360500","Matches (Other Than Those Part Of Fireworks And Pyrotechnic Articles)","Allumettes, a/q les articles de pyrotechnie"
"360610","Fuels In Containers (Not Exceeding 300 Cm3 ) For Filling Or Refilling Cigarette And Similar Lighters","Combustibles liquides et gaz, en récipients d'au plus 300 cm3, pour briquets ou allumeurs"
"360690","Pyrophoric Alloys; Solid Or Semi-Solid Fuels; Firelighters And Articles Of Combustible Materials Nes","Alliages pyrophoriques, combustibles solides ou pâteux, torches de résine et allume-feu"
"370110","Photographic Plates And Film In The Flat - For X-Ray","Plaques/films plans photographiques sensibilisés - non impressionnés - pour rayons x"
"370120","Instant Print Film In The Flat - For Photography","Films photographiques plans à développement et tirage instantanés, sensibilisés et non impressionnés"
"370130","Photographic Plates And Film In The Flat - With Any Side Exceeding 255Mm","Plaques/films plans photographiques, sensiblisés - non impressionnés -  un côté excèddant 255mm"
"370191","Photographic Plates And Film In The Flat - For Colour Photography","Plaques/films plans photographiques sensiblisés - non impressionnés -  photo en couleur"
"370199","Photographic Plates And Film In The Flat - Other Nes","Plaques/films plans photographiques sensibilisés - non impressionnés - photo noir et blanc"
"370210","Photographic Film In Rolls - For X-Ray","Pellicules photographiques en rouleaux, sensibilisées, non impressionnées - pour rayons x"
"370231","Photo Film,Colour, In Rolls,Sensitised,  Unexposed,W/O Perforations,Wd <= 105 Mm","Pellicules photo,couleur,en roul,sens,n  impress,n perforées,largeur <= 105 mm"
"370232","Photo Film,Silver Halide,In Rolls,Sens,  Unexposed,W/O Perforations,Wd <= 105 Mm","Pellicules photo,émulsion d'argent,en  roul,sens,n impress,n perf,larg <= 105 mm"
"370239","Photo Film, Nes, In Rolls, Sensitised,  Unexposed,W/O Perforations,Wd <=105 Mm","Pellicules photo,nda,en roul,sens,n  impress,n perforées, larg <= 105 mm"
"370241","Photo Film,Colour,In Rolls,Sens,Unexp,  W/O Perforations,Wd > 610 Mm,Le > 200 M","Pellicules photo,couleur,en roul, sens,  n impress,n perf,larg >610 mm,lo >200 m"
"370242","Photo Film,O/T Col,In Rolls, Sens,Unexp,  W/O Perforations,Wd > 610 Mm, Le > 200 M","Pellicule photo,a/q coul,en roul,sens,n  impress,n perf,larg > 610 mm,lo > 200 m"
"370243","Photo Film,In Rolls,Sens,Unexp,W/O Perforations,Wd > 610 Mm & Le <= 200 M,Nes","Pellicules photo,en roul,sens,n impress,  n perf, larg > 610 mm, lo <= 200 m,nda"
"370244","Photo Film,Rolls,Sensitised,Unexposed,  W/O Perforations,Wd >105 <= 610 Mm,Nes","Pellicules photo,en roul,sens,n impress,  n perf,larg  >105 mm <= 610 mm, nda"
"370252","Film For Colour Photography (Perforated) In Rolls Of A Width Not Exceeding 16Mm","Pellicules photo couleurs, en rouleaux, sens, non impress, largeur n'excédant pas 16mm"
"370253","Film For Colour Photography (Perforated) In Rolls, Slides - Width 16-35Mm , Length 30M Or Less","Pellicules photo couleurs, sens, non impress, rouleaux, larg >16mm <=35mm, long <=30m, diapositives"
"370254","Film For Colour Photography (Perforated) In Rolls, Prints - Width 16-35Mm , Length 30M Or Less","Pellicules photo couleurs, sens, non impress, en rouleaux, larg >16mm <=35mm, long <=30m, a/q diapos"
"370255","Film For Colour Photography (Perforated) In Rolls - Width 16-35Mm , Length More Than 30M","Pellicules photo couleurs, sens, non impress, en rouleaux, largeur >16 mm mais <=35mm, longueur >30m"
"370256","Film For Colour Photography (Perforated) In Rolls - Width More Than 35Mm","Pellicules photo couleurs sensibilisées, non impress, en rouleaux, largeur excédant 35mm, nda"
"370296","Film For Photography Nes (Perforated) In Rolls: Width Not Exceeding 35Mm, Length Not Exceeding 30M","Pellicules photo sens, non impress, en rouleaux: largeur n'excédant pas 35mm, longeur n'excédant pas"
"370297","Film For Photography Nes (Perforated) In Rolls: Width Not Exceeding 35Mm, Length Exceeding 30M","Pellicules photo sens, non impress, en rouleaux: largeur n'excédant pas 35mm, longeur excédant 30m"
"370298","Film For Photography Nes (Perforated) In Rolls: Width Exceeding 35Mm","Pellicules photo sens, non impress, en rouleaux: largeur excédant 35mm"
"370310","Photographic Paper, Paperboard And Textiles (Sensitized, Unexposed) In Rolls - Width  >610Mm","Papiers, cartons et textiles, photo, sensibilisés, non impressionnés, en rouleaux, largeur >610mm"
"370320","Photographic Paper, Paperboard And Textiles (Sensitized, Unexposed) Nes - For Colour Photography","Papiers, cartons et textiles, photo, sensibilisés, non impressionnés, pour photo couleurs, nda"
"370390","Photographic Paper, Paperboard And Textiles (Sensitized, Unexposed) Nes - For Other Photography","Papiers, cartons et textiles, photographiques, sensibilisés, non impressionnés, nda"
"370400","Photographic Plates, Film, Paper, Paperboard And Textiles - Exposed, But Not Developed","Plaques, pellicules, films, papiers, cartons, textiles, photo, impressionnés mais non développés"
"370510","Photographic Plates And, Film - Exposed And Developed - For Offset Reproduction","Plaques et pellicules, photo, impressionnées et développées (a/q films cinéma) pr reproduction offs"
"370590","Photographic Plates And Film, Exposed &  Developed, O/T Cinematographic Film, Nes","Plaques et pellicules,photographiques,  impress & développées,a/q films ciné,nda"
"370610","Cinematographic Film (With Or Without Sound Track) - Exposed And Developed - Width Of 35 Mm Or More","Films cinématographiques, impressionnés et développés d'une largeur de 35mm ou plus"
"370690","Cinematographic Film (With Or Without Sound Track) - Exposed And Developed - Width Less Than 35 Mm","Films cinématographiques, impressionnés et développés, nda"
"370710","Sensitized Emulsions Prepared For Photographic Uses (Put Up In Measured Portions)","Émulsions pour surfaces sensibles, dosées pour usages photographiques"
"370790","Chemical Preparations Nes For Photographic Uses (Put Up In Measured Portions)","Préparations chimiques, dosées pour usages photographiques, nda"
"380110","Artificial Graphite","Graphite artificiel"
"380120","Colloidal Or Semi-Colloidal Graphite","Graphite colloïdal ou semi-colloïdal"
"380130","Carbonaceous Pastes For Electrodes And Similar Pastes For Furnace Linings","Pâtes carbonées pour électrodes et pâtes similaires pour revêtement intérieur des fours"
"380190","Pastes, Blocks, Plates Or Other Semi-Manufactures Based On Graphite Or Other Carbon","Préparations à base de graphite ou autre carbone, sous forme de pâte, blocs, plaquettes etc."
"380210","Activated Carbon","Charbons activés"
"380290","Activated Natural Mineral Products (Other Than Activated Carbon); Animal Black (Incl Spent)","Matières minérales naturelles activées, noirs d'origine animale incluant le noir animal épuisé"
"380300","Tall Oil (Whether Or Not Refined)","Tall oil, même raffiné"
"380400","Residual Lyes From The Manufacture Of Wood Pulp (Excluding Tall Oil)","Lessives résiduaires de la fabrication des pâtes de cellulose, même concentrées, désucrés ou traités"
"380510","Gum, Wood Or Sulphate Turpentine Oils","Essences de térébenthine, de bois de pin ou de papeterie au sulfate"
"380590","Terpenic Oils,Nes;Crude Dipentene & Para-Cymene;Sulphite Turpentine & Pine Oil","Ess terpénique,nda;dipentène & paracymène bruts;bisulfite et huile de pin"
"380610","Rosin And Resin Acids","Colophanes"
"380620","Rosin Salts Or Resin Acid Salts (Excl Salts Of Rosin Adducts)","Sels de colophane ou d'acides résiniques"
"380630","Ester Gums","Gommes esters"
"380690","Rosin Oils And Spirits, Resin Acids, Run Gums And Derivatives Thereof","Acides résiniques, colophanes ou leurs dérivés nda, essences et huiles de colophane, gommes fondues"
"380700","Tar, Tar Oils, Creosote, Naphtha Of Wood; Vegetable And Brewers' Pitch And Similar Preparations","Goudrons, huiles et créosote de bois; méthylène, poix végétales, de brasserie et similaires"
"380850","Goods Specified In Subheading Note 1  To This Chapter","Marchandises mentionnées dans la note 1  de sous-positions du présent chapitre"
"380891","Insecticides, In Forms Or Packages For  Retail Sale Or As Preparations/Articles","Insecticides,en formes/emballages pr  vente au détail ou préparations/articles"
"380892","Fungicides, In Forms Or Packages For Retail Sale Or As Preparations Or Articles","Fongicides,en formes/emballages pr vente  au détail ou préparations/articles"
"380893","Herbicide,Anti-Sprouting & Plant-Growth  Regs,Forms/Pack F Retail Sale Or Prep/Art","Herbicides,inhib de germ,rég de crois pr  plantes,for/emb vente au dét ou prép/art"
"380894","Disinfectants, In Forms Or Packages For  Retail Sale/As Preparations Or Articles","Désinfectants,en formes ou emballages de  vente au détail ou préparations/articles"
"380899","Pesticides,Incl Rodenticides,Nes,Forms  Or Pack F Retail Sale Or Preparation/Art","Pesticides,incl antirongeurs,nda,formes  ou emb pr vente au détail ou prép/art"
"380910","Finishing Agents, Dye Carriers And Similar Preparations - Based On Amylaceous Substances","Préparations à base de matières amylacées, pr industries du papier, cuir, textile ou similaires, nda"
"380991","Finishing Agents, Dye Carriers And Similar Preparations - Used In Textile Or Like Industries","Agents de finissage ou de fixation de matières colorantes et autres prép, pr industrie textile, nda"
"380992","Finishing Agents, Dye Carriers And Similar Preparations - Used In Paper Or Like Industries","Agents de finissage ou de fixation de matières colorantes et autres prép, pr industrie papier, nda"
"380993","Finishing Agents, Dye Carriers And Similar Preparations - Used In Leather Or Like Industries","Agents d'apprêt, accélérateurs de teinture, etc.  - pour industrie du cuir"
"381010","Pickling Preparations For Metal Surfaces; Soldering, Brazing Or Welding Powders And Pastes","Préparations pour décapage des métaux, pâtes et poudres à souder ou à braser"
"381090","Fluxes And Other Preparations For Soldering; Core/Coating Preparations For Welding Electrodes/Rods","Flux à souder ou similaire, préparations pr enrobage/fourrage des électrodes/baguettes soudage"
"381111","Anti-Knock Preparations - Based On Lead Compounds","Préparations antidétonantes - à base de composés du plomb"
"381119","Anti-Knock Preparations - Based On Other Than Lead Compounds","Préparations antidétonantes - pas à base de composés du plomb"
"381121","Lubricating Oil Additives Containing Petroleum Oils Or Oils Obtained From Bituminous Minerals","Additifs pour huiles lubrifiantes - contenant des huiles de pétrole ou de minéraux bitumineux"
"381129","Lubricating Oil Additives Nes","Additifs pour huiles lubrifiantes - sans huiles de pétrole ou de minéraux bitumineux"
"381190","Prepared Additives For Mineral Oils Or For Other Similar Liquids, Nes","Additifs anticorrosifs préparés pour huiles minérales ou autres liquides similaires, nda"
"381210","Prepared Rubber Accelerators","Préparations dites «accélérateurs de vulcanisation»"
"381220","Compound Plasticizers For Rubber Or Plastics, Nes","Autres plastifiants composites  nda pour caoutchouc/matières plastiques"
"381230","Anti-Oxidizing Preparations And Other Compound Stabilizers For Rubber Or Plastics","Préparations antioxydantes/autres stabilisateurs composites pour caoutchouc/matières plastiques"
"381300","Preparations And Charges For Fire-Extinguishers; Charged Fire-Extinguishing Grenades","Compositions et charges pour extincteurs, grenades et bombes extinctrices"
"381400","Organic Composite Solvents And Thinners Nes; Prepared Paint Or Varnish Removers","Solvants et diluants organiques composites, nda; préparations décapantes pour peintures ou vernis"
"381511","Supported Catalysts - With Nickel Or Nickel Compounds As The Active Substance","Catalyseurs supportés - avec nickel ou composés de nickel comme substance active"
"381512","Supported Catalysts - With Precious Metal Or Precious Metal Compounds As The Active Substance","Catalyseurs supportés - avec métal précieux/composé de métal précieux comme substance active"
"381519","Supported Catalysts - With Other Compound Nes As The Active Substance","Catalyseurs supportés - autres nda"
"381590","Reaction Initiators, Reaction Accelerator And Catalytic Preparations, Nes","Autres initiateurs de réaction, accélérateurs de réaction et préparations catalytiques nda"
"381600","Refractory Cements, Mortars, Concretes And Similar Compositions, Nes","Ciments, mortiers, bétons et compositions similaires (a/q les produits du no 38,01)"
"381700","Mixed Alkylbenzenes And Mixed Alkylnaphthalenes Nes","Autres alkylbenzènes ou alkylnaphtalènes en mélanges nda"
"381800","Chemical Elements Or Compounds Doped For Use In Electronics (In Discs, Wafers Or Similar Forms)","Éléments chimiques dopés pr utilisation en électroniques, sous forme de disques, plaquettes, etc."
"381900","Hydraulic Brake And Transmission Fluids (With Not More Than 70% Petroleum Oils)","Liquides pour freins hydrauliques et autres liquides préparés pour transmissions hydrauliques"
"382000","Anti-Freezing Preparations And Prepared De-Icing Fluids","Préparations antigel et liquides préparés pour dégivrage"
"382100","Prep Culture Media F Dvlpm/Maint Micro-Organisms Or Plant/Hum/Anml Cells","Millieux de cult prép dévelop/entr micro-organismes ou cellules vég/hum/ani"
"382200","Composite Diagnostic Or Laboratory Reagents, Nes (Excl Those From Blood, Antisera And Microbes)","Réactifs composés de diagnostic ou de laboratoire a/q ceux du sang, antisérums et microbes"
"382311","Stearic Acid","Acide stéarique"
"382312","Oleic Acid","Acide oléique"
"382313","Tall Oil Fatty Acids (Tofa)","Tall acides gras"
"382319","Industrial Monocarboxylic Fatty Acids Nes","Acides gras monocarboxyliques industriels, nda et huiles acides de raffinage"
"382370","Acid Oils From Refining","Alcools gras industriels"
"382410","Prepared Binders For Foundry Moulds Or Cores","Liants préparés pour moules ou noyaux de fonderie"
"382430","Non-Agglomerated Metal Carbides Mixed Together Or With Metallic Binders","Carbures métalliques non agglomérés mélangés entre eux ou avec des liants métalliques"
"382440","Prepared Additives For Cements, Mortars Or Concretes","Additifs préparés pour ciments, mortiers ou bétons"
"382450","Non-Refractory Mortars And Concretes","Mortiers et bétons, non réfractaires"
"382460","Sorbitol Nes","Sorbitol, nda"
"382471","Mixtures Containing Cfcs, W/N Containing  Hcfcs, Pfcs Or Hfcs","Mélanges contenant des cfc, contenant ou  non des hcfc, pfc ou hfc"
"382472","Mixt Cntg Bromochlorodifluoromet,Bromotrifluoromet Or Dibromotetrafluoroet","Mél cont du bromochlorodifluoromét,bromotrifluoromét ou dibromotétrafluoroét"
"382474","Mixtures Containing Hcfcs,W/N Containing  Pfcs Or  Hfcs, But N Containing Cfcs","Mélanges contenant des hcfc, cont ou non  du pfc ou hfc, mais ne cont pas de cfc"
"382475","Mixtures Containing Carbon Tetrachloride","Mélanges contenant du tétrachlorure de  carbone"
"382476","Mixtures Containing 1,1,1-Trichloroethane (Methyl Chloroform)","Mélanges contenant 1,1,1-trichloroéthane (méthylchloroforme)"
"382477","Mixtures Cntg Bromomethane (Methyl Bromide) Or Bromochloromethane","Mélanges cont du bromométhane (bromure  de méthyle) ou du bromochlorométhane"
"382478","Mixtures Containing Pfcs Or Hfcs, But  Not Containing Cfcs Or Hcfcs","Mélanges contenant du pfc ou hfc, mais  ne contenant pas de cfc ou hcfc"
"382479","Other Mixtures Cntg Halogenated Derivatives Of Methane,Ethane Or Propane,Nes","Au mélanges contenant des dérivés halogénés de méthane, éthane ou propane,nda"
"382481","Mixtures And Preparations Containing  Oxirane (Ethylene Oxide)","Mélanges et préparations contenant de  l'oxiranne (oxyde d'éthylène)"
"382482","Mixtures And Preparations Containing  Pcbs, Pcts Or Pbbs","Mélanges et préparations contenant des  pbb, pct ou des pcb"
"382483","Mixtures And Preparations Containing  Tris(2,3-Dibromopropyl) Phosphate","Mélanges et préparations contenant du  phosphate de tris(2,3-dibromopropyle)"
"382490","Chemical Products And Preparations Of  The Chemical Or Allied Industries, Nes","Produits chimiques,préparations des industries chimiques ou ind connexes,nda"
"382510","Municipal Chemical Waste","Déchets municipaux"
"382520","Sewage Sludge","Boues d'épuration"
"382530","Clinical Chemical Waste","Déchets cliniques"
"382541","Waste Organic Solvents - Halogenated","Déchets de solvant organiques - halogénés"
"382549","Waste Organic Solvents - Not Halogenated","Déchets de solvant organiques - non halogénés"
"382550","Waste Of Metal Pickling Liquors, Hydraulic Fluids, Brake Fluids And Anti-Freeze Fluids","Déchets de solutions décapante pour métaux ou de liquides hydrauliques/antigels/pour freins"
"382561","Other Chemical Waste  - Containing Mostly Organic Constituents","Autres déchets chimiques - contentenant principalement des constituants organiques"
"382569","Other Chemical Waste - Containing Mostly Inorganic Constituents","Autres déchets chimiques - contentenant principalement des constituants inorganiques"
"382590","Other Chemical Waste Nes","Autres déchets chimiques nda"
"382600","Biodiesel And Mixtures Thereof, Not Containing Or Containing Less Than 70% By Weight Of Petroleum Oi","Biodiesel et ses mélanges, no contenant pas h'huiles de pétrole ni de matériaux bitumineux ou en con"
"390110","Polyethylene - Specific Gravity Of Less Than 0.94","Polyéthylène - densité <0,94"
"390120","Polyethylene - Specific Gravity Of 0.94 Or More","Polyéthylène - densité 0,94 ou plus"
"390130","Ethylene-Vinyl Acetate Copolymers, In Primary Forms","Copolymères de l'éthylène et de l'acétate de vinyle  (sous formes primaires)"
"390190","Polymers Of Ethylene Nes, In Primary Forms","Autres polymères de l'éthylène nda (sous formes primaires)"
"390210","Polypropylene","Polypropylène (sous formes primaires)"
"390220","Polyisobutylene - In Primary Forms","Polyisobutylène (sous formes primaires)"
"390230","Propylene Copolymers - In Primary Forms","Copolymères de propylène (sous formes primaires)"
"390290","Polymers Of Propylene Or Of Other Olefins Nes - In Primary Forms","Autres polymères de propylène ou d'autres oléfines nda  (sous formes primaires)"
"390311","Polystyrene - Expansible - In Primary Forms","Polystyrène expansible  (sous formes primaires)"
"390319","Polystyrene - Other Nes","Polystyrène non-expansible  (sous formes primaires)"
"390320","Styrene-Acrylonitrile (San) Copolymers","Copolymères de styrène-acrylonitrile  (san)  (sous formes primaires)"
"390330","Acrylonitrile-Butadiene-Styrene (Abs) Copolymers","Copolymères d'acrylonitrile-butadiène-styrène (abs)  (sous formes primaires)"
"390390","Polymers Of Styrene Nes - In Primary  Forms","Autres polymères du styrène nda  (sous formes primaires)"
"390410","Polyvinyl Chloride (Pvc) - Not Mixed With Any Other Substances","Polychlorure de vinyle - non mélangé à d'autres substances  (sous formes primaires)"
"390421","Polyvinyl Chloride (Pvc) Nes - Not  Plasticised","Polychlorure de vinyle - mélangé à d'autres substances - non plastifié (sous formes primaires)"
"390422","Polyvinyl Chloride (Pvc) Nes - Plasticised","Polychlorure de vinyle - mélangé à d'autres substances - plastifié (sous formes primaires)"
"390430","Vinyl Chloride-Vinyl Acetate Copolymers - In Primary Forms","Copolymères du chlorure de vinyle et d'acétate de vinyle (sous formes primaires)"
"390440","Vinyl Chloride Copolymers Nes - In Primary Forms","Autres copolymères du chlorure de vinyle nda (sous formes primaires)"
"390450","Vinylidene Chloride Polymers - In Primary Forms","Polymères du chlorure de vinylidène (sous formes primaires)"
"390461","Polytetrafluoroethylene - In Primary Forms","Polytétrafluoroéthylène  (sous formes primaires)"
"390469","Fluoro-Polymers, Nes - In Primary Forms","Autres polymères fluorés nda (sous formes primaires)"
"390490","Polymers Of Other Halogenated Olefins, Nes - In Primary Forms","Polymères d'autres oléfines halogénées  nda  (sous formes primaires)"
"390512","Polyvinyl Acetate - In Aqueous Dispersion - In Primary Forms","Polymères d'acétate de vinyle - en dispersion aqueuse  (sous formes primaires)"
"390519","Polyvinyl Acetate Nes - In Primary Forms","Polymères d'acétate de vinyle - a/q en dispersion aqueuse  (sous formes primaires)"
"390521","Vinyl Acetate Copolymers - In Aqueous Dispersion - In Primary Forms","Copolymères d'acétate de vinyle - en dispersion aqueuse  (sous formes primaires)"
"390529","Vinyl Acetate Copolymers - Not In Aqueous Dispersion - In Primary Forms","Copolymères d'acétate de vinyle- a/q en dispersion aqueuse (sous formes primaires)"
"390530","Polyvinyl Alcohols (Whether Or Not Containing Unhydrolyzed Acetate Groups) - In Primary Forms","Alcools polyvinyliques, même contenant des groupes acétate non hydrolysés"
"390591","Polyvinyl Copolymers Nes - In Primary Forms","Autres copolymères de polyvinyle nda (sous formes primaires)"
"390599","Polyvinyl Esters Nes; Other Vinyl Polymers - In Primary Forms","Esters de polyvinyle et autres polymères de vinyl nda  (sous formes primaires)"
