"HS10-SH10","DESCRIPTION_ENG","DESCRIPTION_FRA"
"3001900010","Heparin and its salts","Héparine et ses sels"
"3001900020","Bone, organs & o human/animal tissue, living/preserved,for","Os, organes, tissus humains ou animaux, vivants ou cons, pour greffes, implants"
"3001900090","Heparin & its salts; human or animal substances for therap","Héparine & ses sels; subst humaines ou animales prép à fin thérapeut/prophyl,nda"
"3002100010","Antisera & o blood fractions, human origin, for diagnostic","Sérums spécifiques et autres constituants du sang humain, usage diagnostique"
"3002100021","Blood plasma, for therapeutic or prophylactic use in human","Plasma sanguin, usage thérapeutique ou prophylactique sur les humains"
"3002100022","Normal serum globulin, for therapeutic or prophylactic use","Sérum-globuline normal, usage thérapeutique ou prophylactique sur les humains"
"3002100023","Immune serum globulin, for therapeutic or prophylactic use","Immunoglobuline sérique, usage thérapeutique ou prophylactique sur les humains"
"3002100029","Antisera & o blood fract, human orig, therapeutic/prophyla","Sérums specif et au constit du sang humain, us thérapeut ou prophyl humain,nda"
"3002100030","Antisera and other blood fractions, of human origin, for o","Sérums specifiques et autres constituants du sang humain, autres usages"
"3002100041","Bovine albumin, for parenteral administration in humans","Albumine de bovins, pour administration parentérale sur les humains"
"3002100042","Sera and antisera, of animal origin, for parenteral admini","Sérums et sérums d'animaux, pour administration parentérale sur les humains"
"3002100049","Blood albumin, nes, of animal origin, for parenteral admin","Albumine du sang animal, nda, pour administration parentérale sur les humains"
"3002100051","Blood fractions, nes, for use in humans","Constituants du sang, nda, pour usage sur les humains"
"3002100059","Blood fractions, nes","Constituants du sang, nda"
"3002100090","Antisera,o blood fract,immunological prod,w/n mod/obt biot","Antisérums,au fract du sang,prod immunologiques,m mod/obt biotechnologique,nda"
"3002200010","Vaccines against influenza virus, for human use","Vaccins contre le virus de l'influenza, pour la médecine humaine"
"3002200090","Vaccines, nes, for human medicine","Vaccins, nda, pour la médecine humaine"
"3002300010","Vacc agnst foot and mth disse; vacc prepr for parentl admi","Vacc antph; vacc prépr en vue d'être admnt par voie prntl; vacc intrnsl pr bovi"
"3002300090","Vaccines, veterinary use, nes","Vaccins, pour la médecine vétérinaire, nda"
"3002900011","Ricin","Ricine"
"3002900012","Saxitoxin","Saxitoxine"
"3002900019","Toxins, toxoids, antitoxins, viruses, bacteriophage and ba","Toxines, toxoïdes, antitoxines, virus, bactériophages et lysats bactériens, nda"
"3002900020","Butter-making ferment cultures","Cultures de ferments, devant servir à la fabrication du beurre"
"3002900030","Dried blood of animal origin","Sang desséché d'origine animale"
"3002900091","Bacteria culture inoculants, for seeds","Injections de cultures bactériennes, pour les graines"
"3002900092","Whole human blood","Sang humain entier"
"3002900093","Antiallergenic preparations of microbial origin","Préparations antiallergiques d'origine microbienne"
"3002900099","Human blood;anml blood therap/prophltc/diag uses;toxins,mi","Sang humain;sang ani us thérapeut/prophyl/diag;toxines,cult micro-organismes,nda"
"3003100000","Penicillins or streptomycins and their derivatives, formul","Pénicillines ou streptomycines et leurs dérivés, formule composée, en vrac"
"3003200000","Antibiotics, nes, formulated, in bulk","Antibiotiques, nda, formule composée, en vrac"
"3003310000","Medicaments, containing insulin but no antibiotics, in bul","Médicaments contenant de l'insuline, mais ne cont pas d'antibiotique,en vrac"
"3003390000","Medicaments, containing hormones, not containing antibioti","Médicaments cont des hormones, mais ne cont pas d'antibiotiques, en vrac, nda"
"3003400000","Alkaloids or their derivs, formulated, not cont antibiotic","Alcaloïdes/dérivés,formule composée,ne cont pas d'antibiotique/hormone, en vrac"
"3003900030","Medicaments containing acetaminophen, in bulk","Médicaments contenant de l'acétaminophène, en vrac"
"3003900090","Other medicaments, formulated, in bulk, nes","Autres médicaments, formulés, en vrac, nda"
"3004100010","Medicaments,cont penicillins or their derivatives, for hum","Médicaments cont pénicillines ou leurs dérivés,pour la méd hum,en doses,nda"
"3004100090","Penicillins/streptomycins or their derivatives, for veteri","Pénicillines/streptomycins ou leurs dérivés, pour méd vétérinaire, en doses, nda"
"3004200011","Medicaments containing cephalosporins, for human use, in d","Médicaments cont céphalosporines,pour la médecine humaine, sous forme de doses"
"3004200012","Medicaments containing vancomycin, for human use, in dosag","Médicaments contenant vancomycine, pour la médecine humaine, sous forme de doses"
"3004200013","Medicaments containing erythromycin, for human use, in dos","Médicaments contenant erythromycine,pr la médecine humaine,sous forme de doses"
"3004200018","Medicaments containing macrolide, o/t erythromycin, for hu","Médicaments cont macrolides, a/q erythromycine,pr méd hum,sous forme de dose,nda"
"3004200019","Other antibiotics, for human use, in dosage, nes","Autres antibiotiques, pour la médecine humaine, sous forme de doses, nda"
"3004200080","Medicaments containing ivermectin, for veterinary use, in","Médicaments cont ivermectine, pour la médecine vétérinaire, sous forme de doses"
"3004200090","Other medicaments containing antibiotics, for veterinary u","Autres médicaments cont antibiotiques,pr méd vétérinaire,sous forme de doses,nda"
"3004310000","Medicaments containing insulin, but no antibiotics, in dos","Médicaments contenant de l' insuline, sans antibiotique, sous forme de doses"
"3004320000","Medi cont corticosteroid hormone,no antibiotic,their deriv","Méds cont horm corticostéroïde,sans antibiotique,leur dérivé/anal struct,en dose"
"3004390011","Epinephrine & its solutions & pituitary extracts etc, for","Épinéphrine et ses solutions & extraits pituitaires,etc,pr méd humaine, en doses"
"3004390012","Medicaments containing anterior pituitary hormones, for hu","Médicament cont hormone du lobe antérieur de l'hypophyse,pr méd humaine, en dose"
"3004390013","Medicaments cont unmixed single estrogens, for human use,","Médicament cont oestrogènes isolé non mélangé,pr méd humaine,sous forme de dose"
"3004390019","Medicaments containing hormones, for human use, in dosage,","Médicaments contenant des hormones, pour la médecine humaine, en doses, nda"
"3004390090","Medicaments containing hormones, for veterinary use, in do","Médicaments cont hormones,pr la médecine vétérinaire,sous forme de doses,nda"
"3004400030","Theophylline, for human use, in dosage","Théophylline, pour la médecine humaine, sous forme de doses"
"3004400040","Morphine or its derivatives, for human use, in dosage","Morphine ou ses dérivés, pour la médecine humaine, sous forme de doses"
"3004400090","Non-narc veg alkaloids or their non-narc derivatives,nes,f","Alcaloïdes végétaux et leurs dériv,a/q narcotiques, nda, méd humaine, en doses"
"3004500011","Medicaments containing a single vitamin, for human use, in","Médicaments cont une vitamine isolée,pr méd humaine, sous forme de doses, nda"
"3004500012","Medicaments cont a single vitamin mixed w other suppl,for","Médicament cont une vitamine isolé mélangé à d'autre suppl,pr méd hum, en dose"
"3004500013","Medicaments cont multivitamins not mixed with other suppl,","Médicament cont des multivitamines non mél à d'autre suppl, méd humaine,en dose"
"3004500014","Medicaments cont multivitamins mixed with other suppl,for","Médicaments cont des multivitamine mélangée à d'autre suppl méd humaine,en dose"
"3004500019","Other medicaments cont vitamins and their derivs, for huma","Autres vitamines et leurs dérivés, pour la méd humaine, sous forme de dose, nda"
"3004500090","Medicaments containing vitamins, for veterinary use, in do","Médicaments contenant des vitamines pour méd vét, sous forme de doses, nda"
"3004900011","Mixtures of amino acids, nes, in dosage","Mélanges d'acides aminés, nda, sous forme de doses"
"3004900012","Dextrose (glucose) solutions, in dosage","Solutions de dextrose (glucose), sous forme de doses"
"3004900019","Mixtures of amino acids and protein hydrolysates, etc, in","Mélanges d'acides aminés et hydrolisats de protéines, etc, en doses, nda"
"3004900031","Analgesics, for human use, in dosage","Analgésiques, pour la médecine humaine, sous forme de doses"
"3004900032","Antidepressants and tranquilizers, for human use, in dosag","Antidépressifs et tranquillisants, pour la médecine humaine, sous forme de doses"
"3004900033","Antihypertensive agents, for human use, in dosage","Agents antihypertensifs, pour la médecine humaine, sous forme de doses"
"3004900034","Antihistamines agents, for human use, in dosage","Agents antihistaminiques, pour la médecine humaine, sous forme de doses"
"3004900035","Medicaments, for human use, acting on the nervous system,","Médicaments, médecine humaine, agissant sur le système nerveux, en doses, nda"
"3004900036","Local anaesthetics, for human use, in dosage","Anesthésiques locaux, pour la médecine humaine, sous forme de doses"
"3004900039","Medicaments, for human use, acting on the central nervous","Médicaments, méd humaine, agissant sur le système nerveux central, en doses, nda"
"3004900042","Laxatives, for human use, in dosage","Laxatifs, pour la médecine humaine, sous forme de doses"
"3004900043","Antacids, for human use, in dosage","Antiacides, pour la médecine humaine, sous forme de doses"
"3004900049","Other gastrointestinal agents, for human use, in dosage, n","Autres agents gastrointestinaux,pour la méd humaine, sous forme de doses,nda"
"3004900050","Medicaments, for human use, acting on the cardio-vascular","Médicaments, méd humaine, agissant sur le système cardio-vasculaire, en doses"
"3004900061","Anti-infective agents, cont sulfonamides, for human use, i","Agents anti-infectieux, contenant des sulfonamides, médecine humaine, en doses"
"3004900069","Anti-infective agents, for human use, in dosage, nes","Agents anti-infectieux, pour la médecine humaine, sous forme de doses, nda"
"3004900071","Haematological agents, for human use, in dosage","Agents hématologiques, pour la médecine humaine, sous forme de doses"
"3004900072","Antineoplastic agents, for human use, in dosage","Agents antinéoplastiques, pour la médecine humaine, sous forme de doses"
"3004900073","Cough or cold preparations, for human use, in dosage","Préparations contre la toux ou la grippe, pour la médecine humaine, en doses"
"3004900074","Medicaments, prim affecting eyes, ears&respiratory system,","Médicaments princip ophtalmo-oto-rhino-laryngologiques, méd humaine, doses,nda"
"3004900075","Diuretics, for human use, in dosage","Diurétiques, pour la médecine humaine, sous forme de doses"
"3004900076","Medicaments,affecting electrolytic, caloric/water balance,","Médicaments,pr équilibre électrolytique, calorique, hydrique, méd humaine, doses"
"3004900077","Dermatological agents, for human use, in dosage","Agents dermatologiques, pour la médecine humaine, sous forme de doses"
"3004900078","Medicaments cont hyaluronic acid or its sodium salt, for h","Médicaments cont acide hyaluronique ou son sel de sodium, méd humaine, en doses"
"3004900079","Other medicaments, for human use, in dosage, nes","Autres médicaments, pour la médecine humaine, sous forme de doses, nda"
"3004900090","Other medicaments, for veterinary use, in dosage, nes","Autres médicaments, pour la médecine vétérinaire, sous forme de doses, nda"
"3005100010","Dressings & sim articles having an adhesive layer, coated/","Pansements et art sim ayant une couche adhésive, imprégnés de substances pharmac"
"3005100091","Adhesive dressings, nes, packaged for retail sale","Pansements adhésifs, nda, emballés pour la vente au détail"
"3005100099","Wadding, gauze, bandages & sim articles, nes, with adhesiv","Ouates, gazes, bandes, art sim, nda, ayant une couche adhésive, emb vente détail"
"3005900020","Dressings & sim articles, coated or impreg w pharm substan","Pansements et art sim, enduits ou imprégnés de substances pharmaceutiques, nda"
"3005900030","Surgical dressings, not stitched or o/w mfd, not coated/im","Pansements chirurgicaux, ni cousus ou autr ouvrés, sans substances pharmac, nda"
"3005900040","Dressings & sim art of woven fab,o/t of cotton; of knit fa","Pansements et art sim en tissu,a/q de coton; tissés, nontissés ou de feutre, nda"
"3005900090","Wadding,gauze,bandages & sim art, packaged for retail sale","Ouate,gazes,bandes,pansements & art sim, cond pr vente détail,usage médical,nda"
"3006100010","Sterile surgical catgut & similar sterile suture mat, for","Catguts chirurgicaux, ligatures stériles sim, pour refermer les plaies en chirur"
"3006100090","Laminaria & laminaria tents, sterile; sterile absorbable s","Laminaires stériles; hémostatiques résorbables stériles pr chirur ou dentisterie"
"3006200020","Blood-grouping reagents, of animal origin","Réactifs pour déterminer les groupes ou les facteurs sanguins, d'origine animale"
"3006200090","Blood-grouping reagents, other than of animal origin, nes","Réactifs pour déterminer groupes ou facteurs sanguins, a/q d'origine animale,nda"
"3006300010","Opacifying, preparations for X-ray examinations","Préparations opacifiantes, pour examens radiographiques"
"3006300090","Diagnostic reagents, designed to be administered to the pa","Réactifs de diagnostic, à être administrés au patient, nda"
"3006400010","Dental cements and bone reconstruction cements","Ciments dentaires et ciments pour la réfection osseuse dentaire"
"3006400090","Other dental fillings, nes","Autres produits d'obturation dentaire, nda"
"3006500000","First-aid boxes and kits","Trousses et boîtes de pharmacie garnies, pour soins de première urgence"
"3006600010","Chem contraceptive prep,based on horm,o prod of 29.37/sper","Prép chim contraceptives,base d'horm,d'au prod du 29.37/de spermicides,doses,nda"
"3006600090","Contraceptive prep, based on horm,on o prod of 29.37/sperm","Prép contraceptives,base d'horm,d'au prod du 29.37/de spermicides,a/q doses,nda"
"3006701000","Chem/biolog prep,incl kits cont ancill mat f med diag;f in","Prép chim/biol, incl acces pr diag médicaux; pr insémination des animaux"
"3006709000","Gel prep f human/vet medicine as lub f parts of body f ope","Prép en gel pr médecine hum/vét comme lub pr part corps pr opér/examens,nda"
"3006910000","Appliances identifiable for ostomy use","Appareillages identifiables de stomie"
"3006920000","Waste pharmaceuticals","Déchets pharmaceutiques"
"3101000000","Animal or vegetable fertilizers, in packages weighing more","Engrais d'origine animale ou végétale, emballage > 10 kg"
"3102100000","Urea, whether or not in aqueous solution, in packages weig","Urée, même en solution aqueuse, emballage > 10 kg"
"3102210000","Ammonium sulphate, in packages weighing more than 10kg","Sulfate d'ammonium, emballage > 10 kg"
"3102290000","Ammonium sulphate/nitrate mixtures or double salts, in pac","Mélanges ou sels doubles de sulfate et nitrate d'ammonium, emballage > 10 kg"
"3102300000","Ammonium nitrate, whether or not in aqueous solution, in p","Nitrate d'ammonium, même en solution aqueuse, emballage > 10 kg"
"3102400000","Ammonium nitrate mixed with cal carb or o non-fert subs, i","Mélanges de nitra d'ammo avec carbo de calc ou au mati inorg, non fert,emb >10kg"
"3102500000","Sodium nitrate, in packages weighing more than 10 kg","Nitrate de sodium, emballage > 10 kg"
"3102600000","Calcium nitrate & ammonium nitrate mx or double salts, in","Mélanges ou sels doubles de nitrate de calcium et d'ammonium, emballage > 10 kg"
"3102800000","Urea and ammonium nitrate mx, in aqueous or ammoniacal sol","Mélanges urée et nitrate d'ammonium, sol aqueuse ou ammoniacale, emb > 10 kg"
"3102900000","Mineral or chemical fertilizers, nitrogenous, nes, in pack","Engrais minéraux ou chimiques, azotés, nda, emballage > 10 kg"
"3103100000","Superphosphates","Superphosphates"
"3103900000","Mineral or chemical fertilizers, phosphatic, nes, in packa","Engrais minéraux ou chimiques, phosphatés, nda,dans un emballage > 10 kg"
"3104200000","Potassium chloride, in packages weighing more than 10kg","Chlorure de potassium, emballage > 10 kg"
"3104300000","Potassium sulphate, in packages weighing more than 10kg","Sulfate de potassium, emballage > 10 kg"
"3104900010","Magnesium potassium sulphate, in packages weighing more th","Sulfate de magnésium et de potassium, emballage > 10 kg"
"3104900090","Mineral or chemical fertilizers, potassic, nes, in package","Engrais minéraux ou chimiques, potassiques, nda, emballage > 10 kg"
"3105100000","Fertilizers, in tablets or similar forms, or in packages n","Engrais, en tablettes ou formes similaires, ou emballage <= 10 kg"
"3105200000","Fertilizers, cont nitrogen, phosphorus & potassium, in pac","Engrais, contenant de l'azote, du phosphore et du potassium, emballage > 10 kg"
"3105300000","Diammonium phosphate, in packages weighing > 10 kg","Phosphate diammonique, emballage > 10 kg"
"3105400000","Monoammonium phosphates & mx thereof, with diammonium phos","Phosphates monoammoniques et leurs mél, avec phosphate diammonique, emb > 10 kg"
"3105510000","Fertilizers, containing nitrates and phosphates, nes, in p","Engrais, contenant des nitrates et des phosphates, nda, emballage > 10 kg"
"3105590000","Fertilizers, containing nitrogen and phosphorus, nes, in p","Engrais, contenant de l'azote et du phosphore, nda, emballage > 10 kg"
"3105600000","Fertilizers, containing phosphorus & potassium, in package","Engrais, contenant du phosphore et du potassium, emballage > 10 kg"
"3105900000","Fertilizers, nes, in packages weighing > 10 kg","Engrais, nda, emballage > 10 kg"
"3201100000","Quebracho extract","Extrait de quebracho"
"3201200000","Wattle extract","Extrait de mimosa"
"3201900000","Tanning extracts of veg orig,nes; tannins & their salts,et","Extraits tannants d'origine vég,nda;tanins & leurs sels,éthers,esters,au dérivés"
"3202100000","Synthetic organic tanning substances","Produits tannants organiques synthétiques"
"3202900000","Inorganic tanning substances; tanning prep; enzymatic prep","Produits tannants inorganiques; prép tannantes; prép enzymatiques de prétannage"
"3203000010","Edible colour matter of veg orig & prep based thereon,o/t","Matières colorantes comes, végétales et leurs prép,a/q celles pr fab surimi"
"3203000090","Colouring matter of veg or animal orig, whether or not scd","Mati colorantes vég ou animales, a/s constitution chim définie & leurs prép, nda"
"3204110000","Synthetic organic disperse dyes and preparations based the","Colorants dispersés organiques synthétiques et prép à base de ces colorants"
"3204120000","Synthetic organic acid and mordant dyes and preparations b","Colorants acides organiques syn et à mordants et prép à base de ces colorants"
"3204130000","Synthetic organic basic dyes and preparations based thereo","Colorants basiques organiques synthétiques et prép à base de ces colorants"
"3204140000","Synthetic organic direct dyes and preparations based there","Colorants directs organiques synthétiques et prép à base de ces colorants"
"3204150000","Synthetic organic vat dyes and preparations based thereon","Colorants de cuve organiques synthétiques et prép à base de ces colorants"
"3204160000","Synthetic organic reactive dyes and preparations based the","Colorants réactifs organiques synthétiques et prép à base de ces colorants"
"3204170011","Synthetic organic colouring matter, yellow pigments","Colorants pigmentaires organiques synthétiques jaunes"
"3204170012","Synthetic organic colouring matter, red pigments","Colorants pigmentaires organiques synthétiques rouges"
"3204170019","Synthetic organic colouring matter pigments, nes","Colorants pigmentaires organiques synthétiques, nda"
"3204170020","Preparations based on synthetic organic colouring matter","Préparations à base de colorants pigmentaires"
"3204190010","Azoic dyes and preparations based thereon","Colorants azoïques et préparations à base de ces colorants"
"3204190030","Oil, spirit or wax dyes, and preparations based thereon, s","Matière colorante organique syn, d'huile, d'alcool ou de parafine et leur prép"
"3204190040","Food, drug or cosmetic dyes and preparations based thereon","Colorants alimentaires, pharmaceutiques ou cosmétiques et leurs préparations"
"3204190090","Other synthetic organic colouring matter including mixture","Autres matières colorantes organiques synthétiques, incluant mélanges, nda"
"3204200020","Synthetic organic prod, used as brightening agents in the","Produits organiques syn, agents d'avivage fluorescents, pour la fab du papier"
"3204200090","Other synthetic organic products, used as fluorescent brig","Autres produits organiques synthétiques, agents d'avivage fluorescents, nda"
"3204900000","Synthetic organic products, used as luminophores","Produits organiques synthétiques, utilisés comme luminophores"
"3205000000","Colour lakes & preparations based thereon as specified in","Laques colorantes et prép à base de ces prod visées à la Note 3 du présent Cha"
"3206111000","Pigment based on titanium dioxide, for use in Canadian man","Pigment à base dioxyde de titane, pour la fabrication de produits canadiens"
"3206119010","Pigments, containing 80% or more by weight of titanium dio","Pigments, contenant 80% ou plus de dioxyde de titane, nda"
"3206119020","Dispersions containing 80% or more by wt of tita dioxide,","Dispersions cont en poids 80 % ou plus de dioxyde de titane, nda"
"3206190000","Pigments and preparations, based on titanium dioxide, nes","Pigments et préparations, à base de dioxyde de titane, nda"
"3206200000","Pigments and preparations based on chromium compounds, nes","Pigments et préparations à base de composés du chrome, nda"
"3206410000","Ultramarine and preparations based thereon, nes","Outremer et ses préparations, nda"
"3206420000","Lithopone and other pigments and preparations based on zin","Lithopone, autres pigments et préparations à base de sulfure de zinc,nda"
"3206490010","Black polyethylene masterbatch","Mélange-maître polyéthylène noir de carbone"
"3206490020","Pigments and preparations, based on iron oxide","Pigments et préparations, à base d'oxyde de fer"
"3206490030","Pigment dispersions, based on inorganic pigments","Dispersions de pigments, à base de pigments inorganiques"
"3206490090","Inorganic colouring matter and preparations based thereon,","Matières colorantes inorganiques et préparations à base de ces matières, nda"
"3206500000","Inorganic products, of a kind used as luminophores","Produits inorganiques, utilisés comme luminophores"
"3207100000","Prepared pigment,opacifier,colour&sim prep,used in ceramic","Pigment,opacifiant&couleur préparé & prép sim,types util pr céram,émail/verrerie"
"3207200000","Vitrifiable enamels and glazes,engobes (slips) and similar","Compositions vitrifiables, engobes, lustres et préparations similaires"
"3207300000","Liquid lustres and similar preparations, used in ceramic,","Lustres liquides et préparations similaires, types util pr céram, émail/verrerie"
"3207400010","Glass frit in the form of powder, granules or flakes","Frittes sous forme de poudre, de grenailles, de lamelles/flocons"
"3207400090","Other glass in the form of powder, granules or flakes, nes","Autres verres en poudre, grenailles, lamelles ou flocons, nda"
"3208100010","Varnishes, incl lacquers, based on polyesters,dispersed in","Vernis, incl laques, à base de polyesters, dispersés en milieu non aqueux"
"3208100020","Paints,including enamels, based on polyesters,dispersed in","Peintures, incl émaux, à base de polyesters, dispersés en milieu non aqueux"
"3208100030","Solutions as def in Ch note 4,based on polyesters,dspd in","Solutions de la note 4 au Cha, à base de polyesters, disp en milieu non aqueux"
"3208200010","Varnishes,incl lacquers,based on acrylic/vinyl poly,dspd i","Vernis, incl laques, base acrylique ou vinylique, dispersés en milieu non aqueux"
"3208200020","Paints,incl enamels,based on acrylic/vinyl poly, dspd in a","Peintures, incl émaux, base acrylique ou vinylique, disp en milieu non aqueux"
"3208200030","Sol as def in Ch note 4,based on acrylic/vinyl poly,dspd i","Solutions de la note 4 au Cha, base acry ou vinylique, disp en milieu non aqueux"
"3208901000","Corrosion resist coat,f mirror;paint/varnish,syn/chem mod","Revêt résistant corrosion,fab miroir;peint/vern,polym syn/mod,etc,fab semi-condu"
"3208909010","Varnishes,incl lacquers,b-on syn/chem mod poly,nes,dspr in","Vernis,incl laques,à base de polym syn/mod,nda,disp/dissous en milieu non aqueux"
"3208909020","Paints,incl enamels, based on syn/chem mod poly,nes,dspr i","Peintures,incl émaux,base de polym syn/mod,nda,disp/dissous en milieu non aqueux"
"3208909030","Sol of prod of hd 39.01 to 39.13 in volat orgn solv,if wt","Solutions des n°s 39.01 à 39.13,ds solvants org vola,si propo solv > 50% sol,nda"
"3209100010","Varnishes,incl lacquers,based on acrylic/vinyl poly,dspd i","Vernis, incl laques, base acrylique ou vinylique, dispersés en milieu aqueux"
"3209100020","Paints,incl enamels,based on acrylic/vinyl poly,dspd in an","Peintures, incl émaux, base acrylique ou vinylique, dispersés en milieu aqueux"
"3209900010","Varnishes,incl lacquers,based on synthetic poly,nes,dspd i","Vernis, incl laques, à base de polymères syn, nda, dispersés en milieu aqueux"
"3209900020","Paints,incl enamels,based on synthetic poly,nes,dspd in an","Peintures, incl émaux, à base de polymères syn, nda, dispersés en milieu aqueux"
"3210000010","Varnishes, including lacquers","Vernis, y compris les laques"
"3210000020","Paints, including enamels","Peintures, y compris les émaux"
"3210000090","Distempers; prepared water pigments, of a kind used for fi","Peintures à l'eau; pigments à l'eau préparés, pour le finissage des cuirs"
"3211000000","Prepared driers","Siccatifs préparés"
"3212100000","Stamping foils","Feuilles pour le marquage au fer"
"3212900010","Pigments, based on alum powder & flake, dspr in non-aqueou","Pigment,base de poudre/flocon d'alum,disp en milieu non aqueux,util pr fab peint"
"3212900080","Other pigment,dspr in non-aqueous media, in liquid/paste f","Au pigment,disp en milieux non aqueux, liquide ou de pâte,util pr fab peint,nda"
"3212900090","Dyes and other colouring matter, put up in forms or packin","Teintures et autres matières colorantes, dans des formes/emb pr vente détail,nda"
"3213100000","Colours, in sets","Couleurs, en assortiments"
"3213901000","Water colours, in liquid or powder form, in jars, bottles","Couleurs pour l'aquarelle, liquides ou en poudre, en pots, flacons ou godets"
"3213909000","Artists',students',painters' & amusement colours, in tubes","Couleurs, pour peinture artistique,l'enseignement,l'amusement,en tube ou sim,nda"
"3214101000","Mastic, cont phenol-form resin,fr mfr of fi lamp;polyes/ep","Mastic,cont rés de phénol-form,pr lampes à incand;polyes/base époxyde,pr gén él"
"3214109010","Caulking compounds","Pâtes à calfeutrer"
"3214109020","Painters' fillings","Enduits utilisés en peinture"
"3214109090","Other mastics, painters fillings, nes","Autres pâtes à calfeutrer et enduits utilisés en peinture, nda"
"3214900010","N-refractory surfg prep for facades,indoor walls,floors,et","Enduits non réfractaires, utilisés en maçonnerie, à base de caoutchouc"
"3214900090","N-refractory surfg prep, for facades, indoor walls,floors,","Enduits non réfractaires, utilisés en maçonnerie et enduits similaires, nda"
"3215110000","Printing ink, black","Encres d'imprimerie, noires"
"3215190010","Printing ink, other than black, for newspapers","Encres d'imprimerie, a/q noires, pour papier-journal"
"3215190020","Printing ink, other than black, flexographic","Encres d'imprimerie, a/q noires, pour impression flexographique"
"3215190030","Printing ink, other than black, offset, lithographic","Encres d'imprimerie, a/q noires, pour offset ou impression lithographique"
"3215190090","Printing ink, o/t black, nes,o/t f use in coating/colourin","Encres d'imprimerie, a/q noires,nda,a/q dev ser enduire/colorer/impr mat tex;etc"
"3215900000","Ink, nes","Encres, nda"
"3301120000","Essential oils of orange","Huiles essentielles d'orange"
"3301130000","Essential oils of lemon","Huiles essentielles de citron"
"3301191000","Essential oils of bergamot or lime","Huiles essentielles de bergamote, lime ou limette"
"3301199000","Essential oils of citrus fruit, nes","Huiles essentielles d'agrumes, nda"
"3301240000","Essential oils of peppermint (mentha piperita)","Huiles essentielles de menthe poivrée (mentha piperita)"
"3301250010","Essential oils of spearmint","Huiles essentielles de menthe verte"
"3301250090","Essential oils of mints, nes","Huiles essentielles de menthes, nda"
"3301290010","Essential oils of clove","Huiles essentielles de girofle"
"3301290090","Other essential oils, nes","Autres huiles essentielles, nda"
"3301301000","Oleoresin paprika","Oléorésines de paprika"
"3301309000","Resinoids, nes","Résinoïdes, nda"
"3301900000","Conc & aqueous distls of essential oils;terpenic by-produc","Huiles essentielles distillées, concrètes ou aqueuses; sous-produits terpéniques"
"3302101100","Compd alcoholic prep,with an alcoholic strength by vol >0.","Prép alcooliques comp,titre alcoométrique vq >0,5% vol, pour la fab des boissons"
"3302101200","Compd alcoholic prep,with an alcoholic strength by vol<=0.","Prép alcooliques comp,titre alcoométrique vq<=0,5% vol, pour la fab des boissons"
"3302109000","Compound alcoholic preparations, for the mfr of beverages,","Préparations alcooliques composées, des types util pr la fab des boisson, nda"
"3302900010","Perfume oil mx & blends, consisting of prod for use as fin","Mélanges d'huiles odoriférantes, utilisées comme bases finies pour les parfums"
"3302900090","Mx of odoriferous substances, for use as raw materials in","Mélanges d'huiles odoriférantes, utilisées comme matières de base indus, nda"
"3303000010","Perfumes","Parfums"
"3303000020","Toilet waters","Eaux de toilette"
"3304100000","Lip make-up preparations","Produits de maquillage pour les lèvres"
"3304200000","Eye make-up preparations","Produits de maquillage pour les yeux"
"3304300000","Manicure or pedicure preparations","Préparations pour manucure ou pédicure"
"3304910000","Powders, beauty or make-up, whether or not compressed","Poudres de beauté ou de maquillage, y compris les poudres compactes"
"3304991000","Prep for ostomy appliances/sanitary,art for incontinence,f","Prép pr appareil de stomie/art hygiène sim,pr incontinence,pr personne exc bébé"
"3304999010","Sunscreen preparations","Préparations anti-solaires"
"3304999020","Face, hand and body creams and lotions","Crèmes et lotions pour le visage, les mains ou le corps"
"3304999090","Beauty or make-up preparations, nes","Produits de beauté ou de maquillage, nda"
"3305100000","Hair shampoos","Shampooings"
"3305200000","Hair waving or straightening preparations","Préparations pour l'ondulation ou le défrisage permanents des cheveux"
"3305300000","Hair lacquers","Laques pour les cheveux"
"3305900000","Hair preparations, nes","Préparations capillaires, nda"
"3306100010","Toothpaste","Dentifrices"
"3306100020","Denture cleaners","Produits pour le nettoyage des dentiers"
"3306100090","Dentifrices, nes","Dentifrices, nda"
"3306200000","Yarn used to clean between the teeth, dental floss","Fils utilisés pour nettoyer les espaces interdentaires, fils dentaires"
"3306900000","Oral or dental hygiene preparations, nes","Préparations pour l'hygiène buccale ou dentaire, nda"
"3307100000","Pre-shave, shaving or after-shaving preparations","Préparations pour le prérasage, le rasage ou l'après-rasage"
"3307200000","Personal deodorants and antiperspirants","Déodorants corporels et autisudoraux"
"3307300010","Bath salts","Sels de bain"
"3307300020","Bath oils","Huiles de bain"
"3307300090","Bath preparations, nes","Préparations pour le bain, nda"
"3307410000","Agarbatti and other odoriferous preparations, which operat","Agarbartti et autres préparations odoriférantes, agissant par combustion"
"3307490000","Room perfuming or deodorizing preparations, nes","Préparations pour parfumer ou désodoriser les locaux, nda"
"3307900010","Animal toilet preparations","Produits de toilette préparés, pour les animaux"
"3307900020","Contact lens solutions","Solutions pour verres de contact"
"3307900090","Perfumery, cosmetic or toilet preparations, nes","Produits de parfumerie, de toilette ou cosmétiques, nda"
"3401111000","Castile soap","Savon de Marseille (Castille)"
